name,date (JD),x (AU),y (AU),z (AU),vx (AU/yr),vy (AU/yr),vz (AU/yr),mass (M_sun),radius (AU)
Sun,2451544.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0046504010695187165
Sun,2451910.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0046504010695187165
Sun,2452275.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0046504010695187165
Sun,2452640.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0046504010695187165
Sun,2453005.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0046504010695187165
Sun,2453371.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0046504010695187165
Sun,2453736.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0046504010695187165
Sun,2454101.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0046504010695187165
Sun,2454466.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0046504010695187165
Sun,2454832.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0046504010695187165
Sun,2455197.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0046504010695187165
Sun,2455562.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0046504010695187165
Sun,2455927.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0046504010695187165
Sun,2456293.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0046504010695187165
Sun,2456658.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0046504010695187165
Sun,2457023.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0046504010695187165
Sun,2457388.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0046504010695187165
Sun,2457754.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0046504010695187165
Sun,2458119.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0046504010695187165
Sun,2458484.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0046504010695187165
Sun,2458849.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0046504010695187165
Sun,2459215.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0046504010695187165
Sun,2459580.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0046504010695187165
Sun,2459945.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0046504010695187165
Sun,2460310.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0046504010695187165
Sun,2460676.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0046504010695187165
Mercury,2451544.5,-0.1407280797108344,-0.4439009580270337,-0.02334555919971206,7.731930263847981,-2.5925355223585598,-0.9214640339701086,1.6596279537456007e-07,1.6310160427807487e-05
