frame,pos_x,pos_y,pos_z,size_x,size_y,size_z,center_of_mass_x,center_of_mass_y,mass,center_of_mass_z
0,0,0,0,100,100,100,49.4783,51.7464,37.1594,138
0,0,0,0,50,50,50,25.6522,8.78261,23.1739,23
0,50,0,0,50,50,50,74.5882,24.7647,24.2353,17
0,0,50,0,50,50,50,15.5455,78.7273,24.697,33
0,0,0,50,50,50,50,28.2,26.4,83.2,5
0,50,50,0,50,50,50,80,67.0968,25.4194,31
0,50,0,50,50,50,50,75.4,12.9,77.9,10
0,0,50,50,50,50,50,27.75,84.25,77.25,8
0,50,50,50,50,50,50,78.1818,82.2727,69.7273,11
0,0,0,0,25,25,25,11.6667,2.5,6.83333,6
0,25,0,0,25,25,25,35.3333,8.66667,15.3333,6
0,0,25,0,25,25,25,0,0,0,0
0,0,0,25,25,25,25,2,2,44,4
0,25,25,0,25,25,25,44,36,20,2
0,25,0,25,25,25,25,45.25,6.5,36,4
0,0,25,25,25,25,25,0,0,0,0
0,25,25,25,25,25,25,31,29,40,1
0,50,0,0,25,25,25,70,19,3,5
0,75,0,0,25,25,25,0,0,0,0
0,50,25,0,25,25,25,68.5,35,16.5,2
0,50,0,25,25,25,25,62,21,49,2
0,75,25,0,25,25,25,99,28,22,3
0,75,0,25,25,25,25,0,0,0,0
0,50,25,25,25,25,25,72,26,40,5
0,75,25,25,25,25,25,0,0,0,0
0,0,50,0,25,25,25,8,68.3333,18.3333,9
0,25,50,0,25,25,25,0,0,0,0
0,0,75,0,25,25,25,19,83,6,5
0,0,50,25,25,25,25,21.8571,70.4286,30.4286,7
0,25,75,0,25,25,25,0,0,0,0
0,25,50,25,25,25,25,0,0,0,0
0,0,75,25,25,25,25,16.0833,89.5833,33.9167,12
0,25,75,25,25,25,25,0,0,0,0
0,0,0,50,25,25,25,0,0,0,0
0,25,0,50,25,25,25,0,0,0,0
0,0,25,50,25,25,25,0,0,0,0
0,0,0,75,25,25,25,18,23,96,1
0,25,25,50,25,25,25,0,0,0,0
0,25,0,75,25,25,25,43,4,76,1
0,0,25,75,25,25,25,14,45,82,1
0,25,25,75,25,25,25,33,30,81,2
0,50,50,0,25,25,25,69,58,22,3
0,75,50,0,25,25,25,0,0,0,0
0,50,75,0,25,25,25,0,0,0,0
0,50,50,25,25,25,25,59,68,36,7
0,75,75,0,25,25,25,86,80,1,5
0,75,50,25,25,25,25,87.8333,57.1667,30.0833,12
0,50,75,25,25,25,25,0,0,0,0
0,75,75,25,25,25,25,94,86,26,4
0,50,0,50,25,25,25,0,0,0,0
0,75,0,50,25,25,25,97,1,67,2
0,50,25,50,25,25,25,0,0,0,0
0,50,0,75,25,25,25,74,7,75,3
0,75,25,50,25,25,25,0,0,0,0
0,75,0,75,25,25,25,76,8,87,2
0,50,25,75,25,25,25,62,30,82,3
0,75,25,75,25,25,25,0,0,0,0
0,0,50,50,25,25,25,0,0,0,0
0,25,50,50,25,25,25,0,0,0,0
0,0,75,50,25,25,25,0,0,0,0
0,0,50,75,25,25,25,24,58,82,2
0,25,75,50,25,25,25,32,99,54,3
0,25,50,75,25,25,25,0,0,0,0
0,0,75,75,25,25,25,24,90,98,2
0,25,75,75,25,25,25,30,81,96,1
0,50,50,50,25,25,25,60,55,50,1
0,75,50,50,25,25,25,96,70,62,3
0,50,75,50,25,25,25,0,0,0,0
0,50,50,75,25,25,25,0,0,0,0
0,75,75,50,25,25,25,79,99,52,2
0,75,50,75,25,25,25,0,0,0,0
0,50,75,75,25,25,25,61.5,92,89,2
0,75,75,75,25,25,25,77,86,83,3
0,0,0,0,12.5,12.5,12.5,5,10,11,1
0,12.5,0,0,12.5,12.5,12.5,13,1,6,5
0,0,12.5,0,12.5,12.5,12.5,0,0,0,0
0,0,0,12.5,12.5,12.5,12.5,0,0,0,0
0,12.5,12.5,0,12.5,12.5,12.5,0,0,0,0
0,12.5,0,12.5,12.5,12.5,12.5,0,0,0,0
0,0,12.5,12.5,12.5,12.5,12.5,0,0,0,0
0,12.5,12.5,12.5,12.5,12.5,12.5,0,0,0,0
0,25,0,0,12.5,12.5,12.5,0,0,0,0
0,37.5,0,0,12.5,12.5,12.5,0,0,0,0
0,25,12.5,0,12.5,12.5,12.5,28,18,4,2
0,25,0,12.5,12.5,12.5,12.5,0,0,0,0
0,37.5,12.5,0,12.5,12.5,12.5,0,0,0,0
0,37.5,0,12.5,12.5,12.5,12.5,39,4,21,4
0,25,12.5,12.5,12.5,12.5,12.5,0,0,0,0
0,37.5,12.5,12.5,12.5,12.5,12.5,0,0,0,0
0,25,0,25,12.5,12.5,12.5,0,0,0,0
0,37.5,0,25,12.5,12.5,12.5,45.25,6.5,36,4
0,25,12.5,25,12.5,12.5,12.5,0,0,0,0
0,25,0,37.5,12.5,12.5,12.5,0,0,0,0
0,37.5,12.5,25,12.5,12.5,12.5,0,0,0,0
0,37.5,0,37.5,12.5,12.5,12.5,0,0,0,0
0,25,12.5,37.5,12.5,12.5,12.5,0,0,0,0
0,37.5,12.5,37.5,12.5,12.5,12.5,0,0,0,0
0,50,25,0,12.5,12.5,12.5,0,0,0,0
0,62.5,25,0,12.5,12.5,12.5,67,27,9,1
0,50,37.5,0,12.5,12.5,12.5,0,0,0,0
0,50,25,12.5,12.5,12.5,12.5,0,0,0,0
0,62.5,37.5,0,12.5,12.5,12.5,0,0,0,0
0,62.5,25,12.5,12.5,12.5,12.5,0,0,0,0
0,50,37.5,12.5,12.5,12.5,12.5,0,0,0,0
0,62.5,37.5,12.5,12.5,12.5,12.5,70,43,24,1
0,0,50,0,12.5,12.5,12.5,0,0,0,0
0,12.5,50,0,12.5,12.5,12.5,0,0,0,0
0,0,62.5,0,12.5,12.5,12.5,0,0,0,0
0,0,50,12.5,12.5,12.5,12.5,0,0,0,0
0,12.5,62.5,0,12.5,12.5,12.5,0,0,0,0
0,12.5,50,12.5,12.5,12.5,12.5,0,0,0,0
0,0,62.5,12.5,12.5,12.5,12.5,4,67,21,5
0,12.5,62.5,12.5,12.5,12.5,12.5,13,70,15,4
0,0,50,25,12.5,12.5,12.5,0,0,0,0
0,12.5,50,25,12.5,12.5,12.5,0,0,0,0
0,0,62.5,25,12.5,12.5,12.5,0,0,0,0
0,0,50,37.5,12.5,12.5,12.5,0,0,0,0
0,12.5,62.5,25,12.5,12.5,12.5,21.8571,70.4286,30.4286,7
0,12.5,50,37.5,12.5,12.5,12.5,0,0,0,0
0,0,62.5,37.5,12.5,12.5,12.5,0,0,0,0
0,12.5,62.5,37.5,12.5,12.5,12.5,0,0,0,0
0,0,75,25,12.5,12.5,12.5,0,0,0,0
0,12.5,75,25,12.5,12.5,12.5,22,85,25,4
0,0,87.5,25,12.5,12.5,12.5,0,0,0,0
0,0,75,37.5,12.5,12.5,12.5,0,0,0,0
0,12.5,87.5,25,12.5,12.5,12.5,18,93,35,5
0,12.5,75,37.5,12.5,12.5,12.5,0,0,0,0
0,0,87.5,37.5,12.5,12.5,12.5,5,90,44,3
0,12.5,87.5,37.5,12.5,12.5,12.5,0,0,0,0
0,50,50,25,12.5,12.5,12.5,0,0,0,0
0,62.5,50,25,12.5,12.5,12.5,0,0,0,0
0,50,62.5,25,12.5,12.5,12.5,59,65,27,4
0,50,50,37.5,12.5,12.5,12.5,0,0,0,0
0,62.5,62.5,25,12.5,12.5,12.5,0,0,0,0
0,62.5,50,37.5,12.5,12.5,12.5,0,0,0,0
0,50,62.5,37.5,12.5,12.5,12.5,59,72,48,3
0,62.5,62.5,37.5,12.5,12.5,12.5,0,0,0,0
0,75,50,25,12.5,12.5,12.5,84,50,27,5
0,87.5,50,25,12.5,12.5,12.5,94,55,32,2
0,75,62.5,25,12.5,12.5,12.5,84,66,26,3
0,75,50,37.5,12.5,12.5,12.5,0,0,0,0
0,87.5,62.5,25,12.5,12.5,12.5,0,0,0,0
0,87.5,50,37.5,12.5,12.5,12.5,0,0,0,0
0,75,62.5,37.5,12.5,12.5,12.5,0,0,0,0
0,87.5,62.5,37.5,12.5,12.5,12.5,97,64,42,2
0,50,75,75,12.5,12.5,12.5,0,0,0,0
0,62.5,75,75,12.5,12.5,12.5,0,0,0,0
0,50,87.5,75,12.5,12.5,12.5,0,0,0,0
0,50,75,87.5,12.5,12.5,12.5,0,0,0,0
0,62.5,87.5,75,12.5,12.5,12.5,64,88,79,1
0,62.5,75,87.5,12.5,12.5,12.5,0,0,0,0
0,50,87.5,87.5,12.5,12.5,12.5,59,96,99,1
0,62.5,87.5,87.5,12.5,12.5,12.5,0,0,0,0
0,37.5,0,25,6.25,6.25,6.25,0,0,0,0
0,43.75,0,25,6.25,6.25,6.25,0,0,0,0
