frame,time,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,mass,radius
0,0,4.4532e-10,1.88716e-09,-2.0701e-11,1.62653e-07,6.89285e-07,-7.56103e-09,1,0.0046504
0,0,-0.380735,-0.185823,0.0197359,2.39898,-8.80212,-0.939362,1.65963e-07,1.63102e-05
0,0,0.437257,0.574385,-0.0173417,-5.90318,4.44471,0.401661,2.44696e-06,4.04545e-05
0,0,-0.195832,0.963487,-5.12078e-05,-6.26348,-1.27691,-4.14629e-05,3.00251e-06,4.25869e-05
0,0,-0.19428,0.961413,-0.000233814,-6.06792,-1.1828,0.00812932,3.69382e-08,1.1611e-05
1,0.00273785,1.30116e-09,5.67126e-09,-6.20997e-11,3.12596e-07,1.38214e-06,-1.51209e-08,1,0.0046504
1,0.00273785,-0.37269,-0.209201,0.0170875,2.93839,-8.53885,-0.967323,1.65963e-07,1.63102e-05
1,0.00273785,0.420751,0.586103,-0.0162284,-6.02871,4.27981,0.406639,2.44696e-06,4.04545e-05
1,0.00273785,-0.212918,0.95969,-5.14194e-05,-6.24085,-1.38696,-7.72911e-05,3.00251e-06,4.25869e-05
1,0.00273785,-0.210835,0.957873,-0.000211459,-6.04659,-1.29301,0.00816511,3.69382e-08,1.1611e-05
2,0.0054757,2.53212e-09,1.1362e-08,-1.2409e-10,4.49608e-07,2.07853e-06,-2.2642e-08,1,0.0046504
2,0.0054757,-0.363236,-0.231788,0.0143745,3.45315,-8.24991,-0.990924,1.65963e-07,1.63102e-05
2,0.0054757,0.403914,0.597359,-0.0151023,-6.14971,4.11127,0.411306,2.44696e-06,4.04545e-05
2,0.0054757,-0.229938,0.955592,-5.16974e-05,-6.21623,-1.4965,-0.000101546,3.00251e-06,4.25869e-05
2,0.0054757,-0.227326,0.954032,-0.000189018,-6.02331,-1.40284,0.00819661,3.69382e-08,1.1611e-05
3,0.00821355,4.10217e-09,1.89688e-08,-2.06467e-10,5.73461e-07,2.77838e-06,-3.00883e-08,1,0.0046504
3,0.00821355,-0.35244,-0.253519,0.0116084,3.94308,-7.93727,-1.01031,1.65963e-07,1.63102e-05
3,0.00821355,0.386759,0.608143,-0.0139643,-6.26606,3.93919,0.415657,2.44696e-06,4.04545e-05
3,0.00821355,-0.246884,0.951197,-5.20125e-05,-6.18969,-1.6055,-0.00011508,3.00251e-06,4.25869e-05
3,0.00821355,-0.243748,0.949892,-0.000166502,-5.99808,-1.51227,0.00822401,3.69382e-08,1.1611e-05
4,0.0109514,5.97465e-09,2.85008e-08,-3.08932e-10,6.83924e-07,3.48157e-06,-3.74251e-08,1,0.0046504
4,0.0109514,-0.340372,-0.274335,0.0088004,4.4081,-7.60277,-1.02563,1.65963e-07,1.63102e-05
4,0.0109514,0.369297,0.618448,-0.0128152,-6.37767,3.7637,0.419686,2.44696e-06,4.04545e-05
4,0.0109514,-0.263753,0.946504,-5.23432e-05,-6.16125,-1.71397,-0.000120806,3.00251e-06,4.25869e-05
4,0.0109514,-0.260095,0.945453,-0.000143922,-5.97093,-1.62127,0.00824752,3.69382e-08,1.1611e-05
5,0.0136893,8.11227e-09,3.99668e-08,-4.31094e-10,7.80765e-07,4.18796e-06,-4.46198e-08,1,0.0046504
5,0.0136893,-0.327098,-0.294179,0.00596123,4.84817,-7.24808,-1.03701,1.65963e-07,1.63102e-05
5,0.0136893,0.351544,0.628263,-0.011656,-6.48442,3.58493,0.423391,2.44696e-06,4.04545e-05
5,0.0136893,-0.280538,0.941516,-5.26758e-05,-6.13093,-1.82189,-0.000121479,3.00251e-06,4.25869e-05
5,0.0136893,-0.276363,0.940717,-0.000121287,-5.94184,-1.72979,0.00826729,3.69382e-08,1.1611e-05
6,0.0164271,1.04771e-08,5.33751e-08,-5.7248e-10,8.63758e-07,4.89737e-06,-5.16413e-08,1,0.0046504
6,0.0164271,-0.312688,-0.313001,0.00310135,5.26331,-6.87472,-1.04457,1.65963e-07,1.63102e-05
6,0.0164271,0.333512,0.63758,-0.0104876,-6.58621,3.40301,0.426766,2.44696e-06,4.04545e-05
6,0.0164271,-0.297236,0.936234,-5.30017e-05,-6.09873,-1.92926,-0.000119048,3.00251e-06,4.25869e-05
6,0.0164271,-0.292546,0.935685,-9.86081e-05,-5.91085,-1.83782,0.00828347,3.69382e-08,1.1611e-05
7,0.019165,1.30307e-08,6.87333e-08,-7.32537e-10,9.32682e-07,5.60959e-06,-5.84609e-08,1,0.0046504
7,0.019165,-0.297209,-0.330753,0.000230867,5.65354,-6.4841,-1.04844,1.65963e-07,1.63102e-05
7,0.019165,0.315215,0.64639,-0.00931087,-6.68295,3.21808,0.429808,2.44696e-06,4.04545e-05
7,0.019165,-0.31384,0.93066,-5.33159e-05,-6.06466,-2.03605,-0.000114741,3.00251e-06,4.25869e-05
7,0.019165,-0.308639,0.930359,-7.58944e-05,-5.87795,-1.94531,0.00829618,3.69382e-08,1.1611e-05
8,0.0219028,1.57338e-08,8.60485e-08,-9.10639e-10,9.87327e-07,6.32438e-06,-6.50517e-08,1,0.0046504
8,0.0219028,-0.280731,-0.347392,-0.00264039,6.01889,-6.07751,-1.04873,1.65963e-07,1.63102e-05
8,0.0219028,0.296667,0.654687,-0.00812671,-6.77453,3.03029,0.432513,2.44696e-06,4.04545e-05
8,0.0219028,-0.330345,0.924795,-5.36151e-05,-6.02871,-2.14223,-0.000109303,3.00251e-06,4.25869e-05
8,0.0219028,-0.324637,0.924741,-5.31551e-05,-5.84315,-2.05224,0.00830552,3.69382e-08,1.1611e-05
9,0.0246407,1.85469e-08,1.05327e-07,-1.10609e-09,1.02749e-06,7.04149e-06,-7.13889e-08,1,0.0046504
9,0.0246407,-0.263319,-0.362878,-0.00550288,6.35942,-5.65612,-1.04552,1.65963e-07,1.63102e-05
9,0.0246407,0.277883,0.662462,-0.00693608,-6.86086,2.83976,0.434878,2.44696e-06,4.04545e-05
9,0.0246407,-0.346748,0.91864,-5.38976e-05,-5.99088,-2.24778,-0.000103181,3.00251e-06,4.25869e-05
9,0.0246407,-0.340534,0.918831,-3.03992e-05,-5.80647,-2.15858,0.0083116,3.69382e-08,1.1611e-05
10,0.0273785,2.14299e-08,1.26574e-07,-1.31814e-09,1.05299e-06,7.76062e-06,-7.745e-08,1,0.0046504
10,0.0273785,-0.245044,-0.377172,-0.0083473,6.67514,-5.22103,-1.03893,1.65963e-07,1.63102e-05
10,0.0273785,0.258878,0.669708,-0.00573992,-6.94187,2.64665,0.4369,2.44696e-06,4.04545e-05
10,0.0273785,-0.363041,0.912199,-5.41622e-05,-5.95119,-2.35266,-9.66419e-05,3.00251e-06,4.25869e-05
10,0.0273785,-0.356326,0.912631,-7.63539e-06,-5.76792,-2.2643,0.00831449,3.69382e-08,1.1611e-05
11,0.0301164,2.4342e-08,1.49795e-07,-1.54597e-09,1.06366e-06,8.48148e-06,-8.32143e-08,1,0.0046504
11,0.0301164,-0.225972,-0.390241,-0.0111646,6.96606,-4.77324,-1.02902,1.65963e-07,1.63102e-05
11,0.0301164,0.239665,0.676419,-0.00453916,-7.01745,2.45111,0.438576,2.44696e-06,4.04545e-05
11,0.0301164,-0.379221,0.905473,-5.44082e-05,-5.90964,-2.45684,-8.9851e-05,3.00251e-06,4.25869e-05
11,0.0301164,-0.372007,0.906144,1.51278e-05,-5.7275,-2.36936,0.00831426,3.69382e-08,1.1611e-05
12,0.0328542,2.72423e-08,1.74994e-07,-1.78871e-09,1.05934e-06,9.20373e-06,-8.86632e-08,1,0.0046504
12,0.0328542,-0.206171,-0.402051,-0.0139459,7.23217,-4.31369,-1.01587,1.65963e-07,1.63102e-05
12,0.0328542,0.22026,0.682588,-0.00333477,-7.08755,2.25329,0.439903,2.44696e-06,4.04545e-05
12,0.0328542,-0.395282,0.898463,-5.46352e-05,-5.86623,-2.56029,-8.29085e-05,3.00251e-06,4.25869e-05
12,0.0328542,-0.387572,0.899372,3.7882e-05,-5.68523,-2.47374,0.00831098,3.69382e-08,1.1611e-05
13,0.0355921,3.00894e-08,2.02173e-07,-2.04547e-09,1.03989e-06,9.92705e-06,-9.37802e-08,1,0.0046504
13,0.0355921,-0.18571,-0.412573,-0.0166825,7.47341,-3.84325,-0.999551,1.65963e-07,1.63102e-05
13,0.0355921,0.200679,0.68821,-0.00212771,-7.15207,2.05335,0.44088,2.44696e-06,4.04545e-05
13,0.0355921,-0.411219,0.891172,-5.48429e-05,-5.82099,-2.66296,-7.58775e-05,3.00251e-06,4.25869e-05
13,0.0355921,-0.403016,0.892315,6.06191e-05,-5.64112,-2.57741,0.0083047,3.69382e-08,1.1611e-05
14,0.0383299,3.28414e-08,2.31334e-07,-2.31529e-09,1.00519e-06,1.06511e-05,-9.85508e-08,1,0.0046504
14,0.0383299,-0.164657,-0.42178,-0.0193659,7.68969,-3.36275,-0.980121,1.65963e-07,1.63102e-05
14,0.0383299,0.180936,0.693279,-0.000918937,-7.21094,1.85143,0.441504,2.44696e-06,4.04545e-05
14,0.0383299,-0.427027,0.883603,-5.50313e-05,-5.77392,-2.76484,-6.87976e-05,3.00251e-06,4.25869e-05
14,0.0383299,-0.418335,0.884977,8.33308e-05,-5.59518,-2.68033,0.00829546,3.69382e-08,1.1611e-05
15,0.0410678,3.54565e-08,2.62478e-07,-2.59718e-09,9.55153e-07,1.13754e-05,-1.02962e-07,1,0.0046504
15,0.0410678,-0.14308,-0.429646,-0.0219878,7.8809,-2.87297,-0.957633,1.65963e-07,1.63102e-05
15,0.0410678,0.161048,0.69779,0.000290574,-7.26411,1.64772,0.441774,2.44696e-06,4.04545e-05
15,0.0410678,-0.442701,0.875756,-5.52002e-05,-5.72504,-2.86587,-6.1694e-05,3.00251e-06,4.25869e-05
15,0.0410678,-0.433523,0.877359,0.000106009,-5.54742,-2.78248,0.00828332,3.69382e-08,1.1611e-05
16,0.0438056,3.78924e-08,2.95605e-07,-2.89014e-09,8.89696e-07,1.20997e-05,-1.07004e-07,1,0.0046504
16,0.0438056,-0.121049,-0.436147,-0.0245398,8.04684,-2.37466,-0.932132,1.65963e-07,1.63102e-05
16,0.0438056,0.141031,0.701739,0.00149985,-7.31151,1.44236,0.441689,2.44696e-06,4.04545e-05
16,0.0438056,-0.458237,0.867636,-5.53497e-05,-5.67435,-2.96604,-5.4583e-05,3.00251e-06,4.25869e-05
16,0.0438056,-0.448576,0.869463,0.000128647,-5.49785,-2.88383,0.0082683,3.69382e-08,1.1611e-05
17,0.0465435,4.01066e-08,3.30715e-07,-3.19313e-09,8.08766e-07,1.28236e-05,-1.10667e-07,1,0.0046504
17,0.0465435,-0.0986335,-0.441263,-0.0270139,8.18731,-1.86854,-0.903655,1.65963e-07,1.63102e-05
17,0.0465435,0.120899,0.705121,0.00270792,-7.35308,1.23553,0.441247,2.44696e-06,4.04545e-05
17,0.0465435,-0.473628,0.859243,-5.54796e-05,-5.62188,-3.0653,-4.74749e-05,3.00251e-06,4.25869e-05
17,0.0465435,-0.463487,0.861293,0.000151235,-5.44649,-2.98435,0.00825044,3.69382e-08,1.1611e-05
18,0.0492813,4.20569e-08,3.67803e-07,-3.50509e-09,7.1233e-07,1.35467e-05,-1.13943e-07,1,0.0046504
18,0.0492813,-0.0759038,-0.444974,-0.029402,8.30203,-1.35534,-0.872237,1.65963e-07,1.63102e-05
18,0.0492813,0.10067,0.707934,0.0039138,-7.38877,1.02739,0.440447,2.44696e-06,4.04545e-05
18,0.0492813,-0.488872,0.850582,-5.55902e-05,-5.56764,-3.16363,-4.03766e-05,3.00251e-06,4.25869e-05
18,0.0492813,-0.478253,0.852849,0.000173767,-5.39334,-3.08401,0.00822976,3.69382e-08,1.1611e-05
19,0.0520192,4.37006e-08,4.06868e-07,-3.82495e-09,6.00379e-07,1.42685e-05,-1.16828e-07,1,0.0046504
19,0.0520192,-0.0529314,-0.447262,-0.031696,8.39066,-0.835751,-0.837905,1.65963e-07,1.63102e-05
19,0.0520192,0.0803588,0.710174,0.00511651,-7.41853,0.818108,0.43929,2.44696e-06,4.04545e-05
19,0.0520192,-0.503962,0.841654,-5.56813e-05,-5.51165,-3.26099,-3.32923e-05,3.00251e-06,4.25869e-05
19,0.0520192,-0.492869,0.844135,0.000196235,-5.33842,-3.18278,0.0082063,3.69382e-08,1.1611e-05
20,0.054757,4.49954e-08,4.47905e-07,-4.15162e-09,4.72928e-07,1.49887e-05,-1.19318e-07,1,0.0046504
20,0.054757,-0.0297888,-0.448112,-0.0338882,8.45282,-0.310501,-0.800682,1.65963e-07,1.63102e-05
20,0.054757,0.0599828,0.711838,0.00631507,-7.44232,0.607866,0.437775,2.44696e-06,4.04545e-05
20,0.054757,-0.518894,0.832462,-5.57531e-05,-5.45392,-3.35734,-2.62251e-05,3.00251e-06,4.25869e-05
20,0.054757,-0.50733,0.835153,0.00021863,-5.28174,-3.28064,0.00818007,3.69382e-08,1.1611e-05
21,0.0574949,4.5899e-08,4.90909e-07,-4.48403e-09,3.30015e-07,1.57069e-05,-1.21409e-07,1,0.0046504
21,0.0574949,-0.00654979,-0.447511,-0.0359705,8.48806,0.21968,-0.760588,1.65963e-07,1.63102e-05
21,0.0574949,0.0395582,0.712925,0.00750851,-7.4601,0.396835,0.435903,2.44696e-06,4.04545e-05
21,0.0574949,-0.533663,0.823009,-5.58056e-05,-5.39447,-3.45266,-1.91769e-05,3.00251e-06,4.25869e-05
21,0.0574949,-0.52163,0.825906,0.000240947,-5.22333,-3.37754,0.00815111,3.69382e-08,1.1611e-05
