frame,time,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,mass,radius
0,0.000114077,-3.62052e+06,4.4703e+07,-8.41944e+06,-0.364736,-0.0436162,-186.731,0.379402,0.0046504
0,0.000114077,-1.00828e+08,1.63401e+08,7.41907e+07,0.599576,2.90877,-183.82,0.992813,0.0046504
0,0.000114077,-2.43278e+07,-26347.9,-2.49723e+07,-2.70248,0.795769,-182.477,0.319371,0.0046504
0,0.000114077,1.02481e+07,9.72782e+06,2.29529e+07,-8.85598,2.45693,-182.457,0.250982,0.0046504
0,0.000114077,-4.40515e+07,-4.33218e+07,-1.49457e+08,-14.6805,-6.39835,-182.211,0.981506,0.0046504
0,0.000114077,4.82091e+06,-800531,-1.24382e+07,4.46959,-2.95523,-181.649,0.199837,0.0046504
0,0.000114077,-3.75901e+06,3.27281e+07,3.33623e+07,-2.93507,-6.99006,-181.423,0.365919,0.0046504
0,0.000114077,2.89958e+07,1.73225e+07,238660,14.1191,-1.77217,-180.298,0.294375,0.0046504
0,0.000114077,9.12743e+06,7.654e+07,-1.00255e+07,0.49168,-1.20438,-180.01,0.457625,0.0046504
0,0.000114077,2.0834e+07,3.19141e+07,-9.14059e+06,4.58526,-1.20894,-178.987,0.312391,0.0046504
0,0.000114077,-4.89777e+07,-4.90038e+07,-6.19993e+07,-8.9826,-8.96782,-176.8,0.487114,0.0046504
0,0.000114077,-3.40153e+07,-1.86336e+07,-1.66066e+07,-6.9751,-8.01573,-174.977,0.321327,0.0046504
0,0.000114077,1.34409e+07,-4.36077e+07,-1.16296e+07,-0.991132,-0.247445,-169.96,0.36251,0.0046504
0,0.000114077,5.18912e+07,-1.64487e+07,-5.91711e+07,2.61876,-2.02386,-169.803,0.515258,0.0046504
0,0.000114077,-6.18869e+07,-1.02167e+08,1.23609e+07,-5.96506,2.2819,-169.382,0.679944,0.0046504
0,0.000114077,1.08564e+07,-3.10387e+06,3.33857e+06,3.41722,-0.572409,-168.583,0.158913,0.0046504
0,0.000114077,1.14585e+07,-4.07187e+07,1.3461e+07,1.95273,0.100031,-167.685,0.372948,0.0046504
0,0.000114077,-1.08899e+07,-2.48733e+07,-1.20148e+07,-0.890483,-3.73284,-166.725,0.234126,0.0046504
0,0.000114077,4.1056e+07,-3.18595e+07,5.15596e+07,2.65364,-1.44358,-166.624,0.516828,0.0046504
0,0.000114077,-1.25504e+07,-9.79152e+06,766019,-5.61527,0.716651,-166.323,0.218713,0.0046504
0,0.000114077,1.74803e+07,-1.50646e+07,-4.22872e+06,3.89941,0.11841,-164.981,0.225125,0.0046504
0,0.000114077,-5.43548e+07,1.36585e+08,2.45917e+06,19.7907,-49.518,-164.657,0.867599,0.0046504
0,0.000114077,2.66934e+07,-1.95476e+07,7.75605e+07,-0.385369,-1.68838,-163.819,0.502112,0.0046504
0,0.000114077,-2.40651e+07,-1.78427e+07,7.47796e+06,-2.66873,-6.60757,-162.728,0.292465,0.0046504
0,0.000114077,1.70438e+07,1.92809e+07,1.35635e+07,-1.08548,-2.9208,-162.72,0.289789,0.0046504
0,0.000114077,-6.50145e+06,8.49869e+07,-5.35184e+07,-2.38187,-10.9747,-161.908,0.702047,0.0046504
0,0.000114077,-1.47729e+07,-1.17051e+07,-2.07369e+07,-3.36258,-2.90088,-161.289,0.247335,0.0046504
0,0.000114077,-1.41718e+07,-1.32571e+07,-6.16415e+06,-3.59154,-11.5583,-159.706,0.230238,0.0046504
0,0.000114077,5.89518e+07,-1.38787e+08,-1.211e+08,9.01012,-1.92335,-159.013,0.995121,0.0046504
0,0.000114077,4.84099e+06,-6.35939e+07,-2.5587e+07,-0.800991,-0.0948146,-157.754,0.537482,0.0046504
0,0.000114077,-3.39419e+07,-7.86895e+07,-1.82855e+08,-1.46214,0.922939,-156.683,1.03867,0.0046504
0,0.000114077,-4.45801e+07,-1.0751e+08,-1.01042e+08,-3.08258,-3.33242,-155.342,0.834061,0.0046504
0,0.000114077,5.24666e+07,-1.49655e+08,2.6143e+07,4.22308,-0.574676,-154.427,0.855397,0.0046504
0,0.000114077,-4.92601e+07,1.36098e+08,-8.47087e+06,-9.9559,-25.3012,-153.924,0.965963,0.0046504
0,0.000114077,7.28927e+06,3.3194e+06,4.10527e+06,12.176,-4.94586,-153.606,0.128095,0.0046504
0,0.000114077,-3.92505e+07,-9.56822e+07,-1.48255e+08,-4.95721,-5.54961,-153.599,0.829238,0.0046504
