name,date (JD),x (AU),y (AU),z (AU),vx (AU/yr),vy (AU/yr),vz (AU/yr),mass (kg),radius (m)
Sun,2460676.5,0.0,0.0,0.0,0.0,0.0,0.0,1.989e+30,695700000.0
Sun,2460677.5,0.0,0.0,0.0,0.0,0.0,0.0,1.989e+30,695700000.0
Sun,2460678.5,0.0,0.0,0.0,0.0,0.0,0.0,1.989e+30,695700000.0
Sun,2460679.5,0.0,0.0,0.0,0.0,0.0,0.0,1.989e+30,695700000.0
Sun,2460680.5,0.0,0.0,0.0,0.0,0.0,0.0,1.989e+30,695700000.0
Sun,2460681.5,0.0,0.0,0.0,0.0,0.0,0.0,1.989e+30,695700000.0
Sun,2460682.5,0.0,0.0,0.0,0.0,0.0,0.0,1.989e+30,695700000.0
Sun,2460683.5,0.0,0.0,0.0,0.0,0.0,0.0,1.989e+30,695700000.0
Sun,2460684.5,0.0,0.0,0.0,0.0,0.0,0.0,1.989e+30,695700000.0
Sun,2460685.5,0.0,0.0,0.0,0.0,0.0,0.0,1.989e+30,695700000.0
Mercury,2460676.5,-0.3873030085256687,-0.1617241946342014,0.02230772540124238,1.8351731292561597,-9.03754632175597,-0.9068879402975601,3.301e+23,2440000.0
Mercury,2460677.5,-0.381518884670512,-0.1861328970640273,0.01978247761656915,2.385715072007104,-8.788558483386172,-0.9370368301478047,3.301e+23,2440000.0
Mercury,2460678.5,-0.3742637036345896,-0.2098244753018986,0.01718090669646003,2.9097890124990866,-8.514094270493853,-0.9626760554448368,3.301e+23,2440000.0
Mercury,2460679.5,-0.3656098087246786,-0.2327324158782133,0.01451508369029605,3.407501847808228,-8.216479761452023,-0.9840055122797932,3.301e+23,2440000.0
Mercury,2460680.5,-0.3556291195414756,-0.2547962651924737,0.01179654556096317,3.879051214111393,-7.897818654489701,-1.0012152462169885,3.301e+23,2440000.0
Mercury,2460681.5,-0.3443929220233315,-0.2759610457119078,0.009036323636516137,4.324698251894876,-7.560010562595968,-1.01448444936232,3.301e+23,2440000.0
Mercury,2460682.5,-0.3319717262922018,-0.2961767220454853,0.006244974204877196,4.744745173465479,-7.204769076411326,-1.023980878946792,3.301e+23,2440000.0
Mercury,2460683.5,-0.3184351802401122,-0.3153977157118412,0.003432610241801834,5.139516855773018,-6.8336392234751795,-1.029860595787868,3.301e+23,2440000.0
Mercury,2460684.5,-0.3038520287863907,-0.3335824666069689,0.0006089335114611446,5.509345780034125,-6.448014094717924,-1.0322679416711573,3.301e+23,2440000.0
Mercury,2460685.5,-0.2882901104635698,-0.3506930387013286,-0.002216733523629049,5.854559733517266,-6.049150513938673,-1.0313356918735674,3.301e+23,2440000.0
Venus,2460676.5,0.4534187654737982,0.5622160792960551,-0.01844136025242647,-5.773241680788113,4.605825379915357,0.39637583178681063,4.867e+24,6052000.0
Venus,2460677.5,0.4374366642040229,0.5746039151612631,-0.01734904903214243,-5.900931615836181,4.442881739656687,0.4015058057561756,4.867e+24,6052000.0
Venus,2460678.5,0.4211111886535386,0.5865407073438381,-0.01624311939174766,-6.024059269917015,4.276358949029671,0.40632337624323983,4.867e+24,6052000.0
Venus,2460679.5,0.4044549703858207,0.598016830392885,-0.01512443237910639,-6.142522422321342,4.10638443048162,0.4108243949490475,4.867e+24,6052000.0
Venus,2460680.5,0.3874809160663063,0.6090230118979265,-0.01399386006730888,-6.256222347994834,3.9330886422734928,0.41500495697048495,4.867e+24,6052000.0
Venus,2460681.5,0.370202197759615,0.6195503406731504,-0.01285228488241113,-6.365063913731043,3.756604984879732,0.41886140506500874,4.867e+24,6052000.0
Venus,2460682.5,0.3526322429665669,0.6295902746807648,-0.01170059891974511,-6.468955672034493,3.577069704013421,0.4223903337345559,4.867e+24,6052000.0
Venus,2460683.5,0.3347847244075594,0.6391346486842839,-0.01053970324930209,-6.5678099525205145,3.394621790324246,0.4255885931215857,4.867e+24,6052000.0
Venus,2460684.5,0.3166735495592287,0.6481756816227086,-0.009370507210715699,-6.661542950718563,3.2094028758227804,0.42845329271031407,4.867e+24,6052000.0
Venus,2460685.5,0.298312849951687,0.6567059836967162,-0.008193927698385119,-6.750074814145935,3.021557127090598,0.4309818048262923,4.867e+24,6052000.0
Earth,2460676.5,-0.1786834409731047,0.9669827953774551,-5.109423915082682e-05,-6.284030766954756,-1.1664379973944576,1.9932328279866845e-06,5.972e+24,6371000.0
Earth,2460677.5,-0.1958590878880783,0.9636382284641026,-5.114611656384336e-05,-6.2624319355657585,-1.2766947590944546,-3.896541033739883e-05,5.972e+24,6371000.0
Earth,2460678.5,-0.2129727572665006,0.9599924292263013,-5.130116483510678e-05,-6.238760170026724,-1.3864767871910204,-7.287975150827173e-05,5.972e+24,6371000.0
Earth,2460679.5,-0.2300188111933187,0.9560467892791192,-5.153621346244332e-05,-6.213044505691382,-1.4957177942291207,-9.69830002217251e-05,5.972e+24,6371000.0
Earth,2460680.5,-0.2469917042018858,0.9518028736428676,-5.182121847168973e-05,-6.185323146558787,-1.6043578626499564,-0.0001090631030250782,5.972e+24,6371000.0
Earth,2460681.5,-0.2638860055608138,0.9472623998203784,-5.212109630758703e-05,-6.155641277835636,-1.712345851459733,-0.00010768066754786484,5.972e+24,6371000.0
Earth,2460682.5,-0.2806964146973069,0.9424272114732688,-5.239804811233434e-05,-6.124048308973258,-1.8196409225108316,-9.230801371781101e-05,5.972e+24,6371000.0
Earth,2460683.5,-0.2974177687035399,0.9372992491162806,-5.261415660444699e-05,-6.090594889795437,-1.9262132076273584,-6.339049879204762e-05,5.972e+24,6371000.0
Earth,2460684.5,-0.3140450415706769,0.9318805200586254,-5.27340530309738e-05,-6.055329866768168,-2.032043700231246,-2.2337104360430602e-05,5.972e+24,6371000.0
Earth,2460685.5,-0.3305733350936713,0.9261730697090935,-5.27274608099541e-05,-6.018297257551583,-2.1371233518654695,2.8561624618152634e-05,5.972e+24,6371000.0
Moon,2460676.5,-0.1776670337217189,0.9646511868801392,-0.0002560710414773878,-6.087294276619528,-1.0722506227022532,0.008088978003646871,7.347e+22,1737000.0
Moon,2460677.5,-0.1943365615266376,0.9616247644734573,-0.0002285807008087899,-6.091255820729374,-1.1393524438861682,0.011917139861791857,7.347e+22,1737000.0
Moon,2460678.5,-0.2110283814306232,0.9584068230767195,-0.0001913421390306334,-6.103352589628063,-1.2125926100870708,0.015169917183356333,7.347e+22,1737000.0
Moon,2460679.5,-0.2277625562943273,0.9549771184329199,-0.0001462466950714558,-6.12184431900523,-1.2944181974975788,0.017622202113165328,7.347e+22,1737000.0
Moon,2460680.5,-0.2445534095596889,0.9513093463353591,-9.574496609888436e-05,-6.144302506602103,-1.3867711224453052,0.019093997500935274,7.347e+22,1737000.0
Moon,2460681.5,-0.2614078695184868,0.9473728071414834,-4.269768360602833e-05,-6.1677879977002625,-1.4908937147000183,0.019468133544885614,7.347e+22,1737000.0
Moon,2460682.5,-0.2783243708572801,0.9431345060485182,9.813274883259098e-06,-6.189074846873229,-1.6072058351850458,0.0187015701811153,7.347e+22,1737000.0
Moon,2460683.5,-0.295292399042832,0.9385614925442027,5.869602763245815e-05,-6.204892594788536,-1.7352518133400485,0.016830378996132232,7.347e+22,1737000.0
Moon,2460684.5,-0.3122927063443188,0.9336232578934761,0.0001010655162379616,-6.212173372670033,-1.8737104090629941,0.013968973682504382,7.347e+22,1737000.0
Moon,2460685.5,-0.3292982040021273,0.9282940186215207,0.0001344502969112353,-6.208297477189423,-2.020469402584579,0.010303434757896883,7.347e+22,1737000.0
Mars,2460676.5,-0.521685866568138,1.525234576802456,0.04475559803760917,-4.642997698467515,-1.2195111589297836,0.0883097131204145,6.417e+23,3390000.0
Mars,2460677.5,-0.534379153946706,1.521841997667059,0.04499579567247048,-4.629398277640132,-1.25874170368488,0.08715396550289428,6.417e+23,3390000.0
Mars,2460678.5,-0.5470347946845668,1.518342227108975,0.04523282342886351,-4.615497145694722,-1.2978141901309543,0.08599413344461312,6.417e+23,3390000.0
